id,nombre,apellido,deporte
1,Dud,Ishak,Taekwondo
2,Jolyn,Bragg,Tenis
3,Sallie,Gaw,Atletismo
4,Belle,De Biasi,Badminton
5,Bing,Filov,Baloncesto
6,West,Douberday,Balonmano
7,Marion,Northridge,BalonmanoPlaya
8,Hillary,Whittle,Baloncesto3x3
9,Standford,Semour,Beisbol
10,Babs,Orridge,Biatlon
11,Arliene,Dunnett,Futbol
12,Anabal,Bick,Futbol Sala
13,Thelma,Hoodlass,GimnasiaArtistica
14,Othello,Sperrett,Golf
15,Kristal,Herche,Hipica
16,Archibaldo,Goldberg,HockeySobreCesped
17,Traver,Sutheran,HockeySobreHielo
18,Noelani,Baggally,Judo
19,Maye,Peetermann,Karate
20,Barbara,Coleyshaw,Natacion
21,Fania,Rewan,Box
